,Values(Km^2),date
0,2402.75,2010-01-01
1,88.5,2010-01-02
2,6158.25,2010-01-03
3,6696.25,2010-01-04
4,3703.0,2010-01-05
5,6743.75,2010-01-06
6,3150.0,2010-01-07
7,6736.0,2010-01-08
8,5255.75,2010-01-09
9,6596.5,2010-01-10
10,4421.25,2010-01-11
11,1767.5,2010-01-12
12,0.0,2010-01-13
13,646.5,2010-01-14
14,151.75,2010-01-15
15,3221.5,2010-01-16
16,3598.25,2010-01-17
17,4389.5,2010-01-18
18,3.25,2010-01-19
19,6531.75,2010-01-20
20,0.0,2010-01-21
21,3438.5,2010-01-22
22,889.75,2010-01-23
23,5353.25,2010-01-24
24,119.75,2010-01-25
25,329.25,2010-01-26
26,4969.25,2010-01-27
27,3191.75,2010-01-28
28,2205.75,2010-01-29
29,1231.75,2010-01-30
30,56.25,2010-01-31
31,1759.5,2010-02-01
32,4040.0,2010-02-02
33,263.0,2010-02-03
34,203.25,2010-02-04
35,118.25,2010-02-05
36,0.5,2010-02-06
37,4516.0,2010-02-07
38,2567.0,2010-02-08
39,7.75,2010-02-09
40,771.25,2010-02-10
41,2962.75,2010-02-11
42,108.25,2010-02-12
43,1410.75,2010-02-13
44,6654.75,2010-02-14
45,1893.25,2010-02-15
46,3461.0,2010-02-16
47,4554.5,2010-02-17
48,4336.0,2010-02-19
49,571.0,2010-02-20
50,1070.25,2010-02-24
51,5209.0,2010-02-25
52,0.0,2010-02-26
53,2.25,2010-02-27
54,0.0,2010-02-28
55,255.75,2010-03-01
56,527.25,2010-03-02
57,1113.0,2010-03-03
58,265.25,2010-03-04
59,2674.0,2010-03-05
60,4438.0,2010-03-06
61,2245.0,2010-03-07
62,1079.0,2010-03-08
63,4226.5,2010-03-09
64,94.0,2010-03-10
65,2098.25,2010-03-11
66,416.75,2010-03-12
67,3679.0,2010-03-13
68,1561.75,2010-03-14
69,6011.5,2010-03-15
70,725.25,2010-03-16
71,184.5,2010-03-17
72,0.0,2010-03-18
73,1029.25,2010-03-19
74,6177.5,2010-03-20
75,6696.5,2010-03-21
76,6556.5,2010-03-22
77,560.0,2010-03-23
78,0.0,2010-03-24
79,2632.5,2010-03-25
80,583.25,2010-03-26
81,3135.75,2010-03-27
82,31.0,2010-03-28
83,5271.0,2010-03-29
84,6216.5,2010-03-30
85,5592.25,2010-03-31
86,6755.75,2010-04-01
87,6738.25,2010-04-02
88,6747.25,2010-04-03
89,6277.75,2010-04-04
90,2561.75,2010-04-05
91,5917.0,2010-04-06
92,4524.75,2010-04-07
93,3.0,2010-04-08
94,74.0,2010-04-09
95,4517.5,2010-04-10
96,5386.25,2010-04-11
97,5234.5,2010-04-12
98,174.75,2010-04-13
99,6182.5,2010-04-14
100,5144.5,2010-04-15
101,6748.0,2010-04-16
102,2882.0,2010-04-17
103,204.25,2010-04-18
104,4981.0,2010-04-19
105,6415.5,2010-04-20
106,3537.0,2010-04-21
107,328.0,2010-04-22
108,893.5,2010-04-23
109,4667.25,2010-04-24
110,6169.0,2010-04-25
111,6738.0,2010-04-26
112,6195.5,2010-04-27
113,4856.0,2010-04-28
114,3089.5,2010-04-29
115,6178.5,2010-04-30
116,17.75,2010-05-01
117,0.0,2010-05-02
118,1021.0,2010-05-03
119,3100.25,2010-05-04
120,3913.25,2010-05-05
121,4432.0,2010-05-06
122,3984.0,2010-05-07
123,6212.75,2010-05-08
124,6685.25,2010-05-09
125,3713.5,2010-05-10
126,963.5,2010-05-11
127,723.5,2010-05-12
128,4708.0,2010-05-13
129,5953.25,2010-05-14
130,6313.5,2010-05-15
131,6784.75,2010-05-16
132,6770.75,2010-05-17
133,6777.25,2010-05-18
134,736.75,2010-05-19
135,164.25,2010-05-20
136,6785.0,2010-05-21
137,6777.5,2010-05-22
138,6778.75,2010-05-23
139,2022.0,2010-05-24
140,6785.0,2010-05-25
141,6785.0,2010-05-26
142,6783.75,2010-05-27
143,6785.0,2010-05-28
144,2200.75,2010-05-29
145,6128.5,2010-05-30
146,6779.5,2010-05-31
147,6784.5,2010-06-01
148,6785.0,2010-06-02
149,6688.75,2010-06-03
150,6784.5,2010-06-04
151,5951.75,2010-06-05
152,6784.75,2010-06-06
153,5004.0,2010-06-07
154,6784.75,2010-06-08
155,633.75,2010-06-09
156,6785.0,2010-06-10
157,6785.0,2010-06-11
158,6785.0,2010-06-12
159,6785.0,2010-06-13
160,6785.0,2010-06-14
161,6784.25,2010-06-15
162,4491.0,2010-06-16
163,6232.75,2010-06-17
164,4308.25,2010-06-18
165,5806.75,2010-06-19
166,3666.25,2010-06-20
167,6612.5,2010-06-21
168,6784.0,2010-06-22
169,6642.75,2010-06-23
170,6557.5,2010-06-24
171,6058.75,2010-06-25
172,0.0,2010-06-26
173,6785.0,2010-06-27
174,6785.0,2010-06-28
175,6785.0,2010-06-29
176,6785.0,2010-06-30
177,6765.75,2010-07-01
